year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1979-W18,166.886905,5.136905,681.117857,7.976647,25.814371,308.8,1.0484,342.065
1979-W19,209.383234,2.892216,681.775,7.878916,43.084337,283.2,1.0606,338.39
1979-W20,227.185629,3.790419,681.428571,6.668452,30.761905,312.4,1.0688,338.36
1979-W21,204.686747,3.177711,682.314286,9.695758,31.762195,281,1.0718,340.16
1979-W22,163.138554,2.639157,680.666667,6.749102,50.11976,288.75,1.1065,339.385
1979-W23,183.095238,2.581548,681.301786,8.721687,25.415663,284.2,1.0506,341.025
1979-W24,235.263473,2.6,681.527381,9.317262,27.690476,286.8,1.0396,338.6
1979-W25,152.357143,4.731548,682.238095,7.691617,35.287425,286.4,1.0578,339.37
1979-W26,180.214286,3.920238,682.833929,7.9875,44.809524,278.75,1.07,338.625
1979-W27,176,3.328144,682.257738,8.716766,34.700599,279.5,1.03425,337.96
1979-W28,184.625,3.41131,684.008333,8.71506,51.218182,272.8,1.0576,338.06
1979-W29,115.598802,6.549701,682.090476,9.074405,26.488095,278,1.0348,336.98
1979-W30,142.964286,4.003571,681.144643,8.13494,26.295181,276.4,1.0374,334.075
1979-W31,175.035928,4.402395,682.41369,9.181437,27.065868,283,1.0996,337.96
1979-W32,227.809524,3.091667,682.191071,7.805988,48.096386,278.4,1.0758,335.9
1979-W33,168.126506,3.54759,682.780952,8.331707,58.560976,267.4,1.0792,330.34
1979-W34,152.656627,3.150602,681.625595,7.765868,41.556886,266.6,1.0808,333.68
1979-W35,115.560241,7.746988,682.605357,9.25509,33.982036,268.6,1.0792,335.81
1979-W36,114.592814,3.878443,681.706548,8.964671,37.191617,273,1.13375,335.02
1979-W37,98.791667,5.045238,682.261905,8.443452,26.291667,275.2,1.1226,333.77
1979-W38,171.005952,2.945238,681.704167,8.422754,31.359281,269,1.1074,337.63
1979-W39,223.166667,2.374405,681.738095,7.890303,44.527273,262.6,1.1474,333.505
1979-W40,182.988024,3.058683,681.697619,6.82515,65.42515,273.2,1.1554,333.7
1979-W41,194.047904,2.509581,682.530952,6.793413,65.245509,262.25,1.23975,333.34
1979-W42,124.410714,8.779167,683.351786,7.871687,33.951807,251.6,1.1544,338.895
1979-W43,199.958333,3.038095,681.954167,7.553293,28.48503,248.6,1.2138,335.365
1979-W44,190.269461,2.762275,680.983929,5.085714,67.712575,258.5,1.34275,337.475
1979-W45,193.934524,5.301786,679.584524,6.752695,23.467066,257.8,1.2492,336.805
1979-W46,174.412121,4.029697,680.382738,6.102381,52.642857,261,1.266333,342.725
1979-W47,184.333333,3.56369,681.516667,5.544048,57.988095,255,1.40075,336.04
1979-W48,201.461078,5.511976,680.883333,8.134524,21.077381,248.8,1.3636,335.255
1979-W49,179.614458,2.485542,679.629762,5.669753,39.167665,243.6,1.392,335.525
1979-W50,207.107143,4.805357,680.352381,6.905357,33.059524,237.6,1.4256,337.37
1979-W51,175.261905,5.714286,683.471429,9.554545,15.678788,233.667,1.42,335.93
1979-W52,183.508982,3.748503,680.455952,5.24125,30.987879,240,1.509667,338.485
1980-W01,245.8,5.210909,677.861905,5.036667,13.186747,238.75,1.486,349.615
1980-W02,262.874214,14.334591,677.349007,4.325,65.938776,236,1.452,350.095
1980-W03,238.184524,3.908333,681.811905,5.155346,46.352201,235.2,1.4964,340.835
1980-W04,237.452381,7.046429,676.663095,4.912409,24.267857,255,1.4484,341.4
1980-W05,223.222222,6.642361,678.777778,8.036957,19.268116,223,1.3598,349.13
1980-W06,182.059524,5.106548,679.204762,6.098171,27.898204,248.8,1.3486,345.09
1980-W07,231.27381,9.919048,676.58869,7.107273,25.242424,232.2,1.3098,346.355
1980-W08,234.029762,8.044048,681.805357,7.63869,16.47619,220,1.313333,345.7525
1980-W09,226.636905,5.205952,681.368452,5.567262,40.505952,242,1.2922,345.15
1980-W10,189.035714,4.019643,680.564286,4.801087,34.683673,253.6,1.163,349.175
1980-W11,154.071429,4.769048,678.909524,3.757353,41.397059,255.2,1.2082,344.865
1980-W12,163.349398,4.633735,679.852381,4.635659,67.909091,259,1.0655,351.03
1980-W13,141.190476,7.496429,679.064881,2.842484,54.833333,259.75,1.247,347.15
1980-W14,156.666667,4.767262,681.527215,5.733974,42.925926,265.2,1.0918,343.5626667
1980-W15,162.891566,3.134337,681.003571,5.669697,33.526946,260,1.0672,351.265
1980-W16,155.706587,4.426946,680.599405,6.58024,27.658683,266.5,1.0265,345.175
1980-W17,124,5.466265,681.274405,6.945509,23.988024,283.4,1.0338,348.905
1980-W18,124.850299,5.276647,682.158929,8.923353,11.856287,272.4,1.0542,345.735
1980-W19,205.666667,3.202976,681.445833,8.345238,22.261905,275.6,1.1178,345.3
1980-W20,137.826347,4.856287,680.938095,6.249091,32.012121,300.4,1.0454,343.205
1980-W21,206.809524,4.116071,682.072619,6.762577,37.124224,285.4,1.0822,342.005
1980-W22,199.598726,2.990446,680.700595,5.116168,57.844311,281.5,1.24,342.575
1980-W23,172.291667,2.895238,680.667262,7.271084,33.680723,274,1.0682,344.2719048
1980-W24,173.178571,3.2,681.410714,9.216168,25.245509,290,1.057,342.14
1980-W25,164.084337,6.318675,683.641667,9.349701,23.754491,271,1.026667,349.515
1980-W26,206.329341,1.991018,681.610714,9.347619,29.863095,260.4,1.1366,353.45
1980-W27,177.42515,2.861078,681.242262,9.510692,28.660377,260,1.01975,345.495
1980-W28,147.520958,2.642515,682.679762,8.393902,41.652439,264,1.1288,342.38
1980-W29,155.048193,5.010241,682.048214,10.171515,25.675,268,1.0218,343.86
1980-W30,150.054545,3.78,682.2,6.908442,41.714286,278.6,1.0542,338.27
1980-W31,155.622754,4.313174,681.93869,9.993421,29.065789,260.8,1.061,337.425
1980-W32,169.227545,3.009581,680.608929,7.588623,40.041916,268.667,1.025667,338.9675
1980-W33,120.60241,2.831928,681.530952,9.683735,26.415663,261.8,1.0806,340.51
