year_week,value
1983-W45,346.6492
1983-W46,340.4135625
1983-W47,341.62399999999997
1983-W48,341.89625
1983-W49,342.34833333333336
1983-W50,342.954
1983-W51,343.0674
1983-W52,343.77675
1984-W01,344.485875
1984-W02,343.50275
1984-W03,343.662875
1984-W04,344.41612499999997
1984-W05,345.01712499999996
1984-W06,344.7525
1984-W07,344.459625
1984-W08,344.50875
1984-W09,345.002125
1984-W10,345.11
1984-W11,345.7528333333333
1984-W12,345.8537142857143
1984-W13,346.57185714285714
1984-W14,347.28999999999996
1984-W15,346.36533333333335
1984-W16,346.9453888888889
1984-W17,348.45599166666665
1984-W18,348.3551875
1984-W19,347.41249999999997
1984-W20,347.55483333333336
1984-W21,347.3865
1984-W22,347.367375
1984-W23,347.13325
1984-W24,347.2525
1984-W25,346.4216666666666
1984-W26,349.286
1984-W27,345.31174999999996
1984-W28,346.2383333333333
1984-W29,345.08675
1984-W30,344.11
1984-W31,342.8966666666667
1984-W32,343.5438571428571
1984-W33,343.646125
1984-W34,342.231625
1984-W35,343.10625
1984-W36,340.1725
1984-W37,340.722
1984-W38,341.320875
1984-W39,341.250375
1984-W40,341.733
1984-W41,341.93975
1984-W42,341.53325
1984-W43,341.87449999999995
1984-W44,342.260375
1984-W45,342.683375
1984-W46,343.50875
1984-W47,343.175
1984-W48,345.742625
1984-W49,343.60375
1984-W50,343.5115
1984-W51,344.49499999999995
1984-W52,344.401
1985-W01,346.725
1985-W02,345.0806666666667
1985-W03,344.99
1985-W04,344.01216666666664
1985-W05,348.92650000000003
1985-W06,345.818375
1985-W07,345.29
1985-W08,346.42233333333337
1985-W09,353.39
1985-W10,347.66328571428573
1985-W11,347.68675
1985-W12,348.470375
1985-W13,347.8678333333333
1985-W14,346.785
1985-W15,348.006625
1985-W16,348.275375
1985-W17,348.493
1985-W18,348.800125
1985-W19,349.00325
1985-W20,348.9456666666667
1985-W21,347.683375
1985-W22,349.60875
1985-W23,349.403375
1985-W24,348.20625
1985-W25,348.210375
1985-W26,347.564625
1985-W27,346.94212500000003
1985-W28,346.893375
1985-W29,346.48625
1985-W30,345.57733333333334
1985-W31,345.57166666666666
1985-W32,344.367125
1985-W33,344.7445
1985-W34,343.24325
1985-W35,342.842875
1985-W36,344.2916666666667
1985-W37,343.80174999999997
1985-W38,342.592
1985-W39,342.392125
1985-W40,342.462875
1985-W41,342.470875
1985-W42,343.31333333333333
1985-W43,343.64125
1985-W44,343.239625
1985-W45,343.587875
1985-W46,344.37962500000003
1985-W47,344.358375
1985-W48,345.18475
1985-W49,345.307875
1985-W50,345.94708333333335
1985-W51,345.207
1985-W52,345.8161666666667
1986-W01,346.32116666666667
1986-W02,346.112375
1986-W03,346.58500000000004
1986-W04,346.59875
1986-W05,346.2545
1986-W06,346.937875
1986-W07,346.843375
1986-W08,346.749
1986-W09,347.0355
1986-W10,346.7695
1986-W11,347.4755
1986-W12,349.25333333333333
1986-W13,349.345
1986-W14,348.376
1986-W15,349.3
1986-W16,349.16383333333334
1986-W17,350.4638333333333
1986-W18,349.57783333333333
1986-W19,349.8733333333333
1986-W20,349.97883333333334
1986-W21,350.06283333333334
1986-W22,350.58233333333334
1986-W23,349.23049999999995
1986-W24,349.00216666666665
1986-W25,349.2516666666667
1986-W26,348.59566666666666
1986-W27,348.10978571428575
1986-W28,346.9595
1986-W29,347.45733333333334
1986-W30,347.42333333333335
1986-W31,345.285
1986-W32,346.07666666666665
1986-W33,345.484
1986-W34,344.61800000000005
1986-W35,344.4755
1986-W36,344.23
1986-W37,344.7778333333333
1986-W38,344.53950000000003
1986-W39,343.38000000000005
1986-W40,344.61833333333334
1986-W41,343.78566666666666
1986-W42,343.77
1986-W43,343.336
1986-W44,344.73049999999995
1986-W45,345.0916666666667
1986-W46,345.709
1986-W47,345.8811666666666
1986-W48,346.77500000000003
1986-W49,346.5988333333333
1986-W50,347.06679999999994
1986-W51,347.3066666666667
1986-W52,346.9211666666667
1987-W01,344.9883333333333
1987-W02,347.49383333333327
1987-W03,347.6438333333333
1987-W04,347.89675
1987-W05,347.9338333333333
1987-W06,347.5971666666667
1987-W07,348.1855
1987-W08,349.02666666666664
1987-W09,349.5826666666667
1987-W10,348.6783333333333
1987-W11,348.85066666666665
1987-W12,349.3905
1987-W13,350.30833333333334
1987-W14,350.9388333333333
1987-W15,349.731
1987-W16,350.2355
1987-W17,351.4243333333333
1987-W18,351.115
1987-W19,352.26933333333335
1987-W20,351.8821666666667
1987-W21,351.9766666666667
1987-W22,351.97
1987-W23,351.78433333333334
1987-W24,351.43833333333333
1987-W25,350.6605
1987-W26,351.19766666666663
1987-W27,349.83616666666666
1987-W28,350.68666666666667
1987-W29,349.715
1987-W30,349.7183333333333
1987-W31,349.03933333333333
1987-W32,346.5328333333334
1987-W33,347.87166666666667
1987-W34,348.0106666666666
1987-W35,346.13283333333334
1987-W36,347.1585
1987-W37,346.453
1987-W38,346.94325000000003
1987-W39,346.8932
1987-W40,347.1066666666666
1987-W41,347.05116666666663
1987-W42,346.86400000000003
1987-W43,347.2511666666667
1987-W44,347.02400000000006
1987-W45,347.84833333333336
1987-W46,347.4728333333333
1987-W47,348.58116666666666
1987-W48,349.1061666666667
1987-W49,349.5316666666667
1987-W50,350.0606666666667
1987-W51,349.5561666666667
1987-W52,349.89900000000006
1987-W53,349.58216666666664
1988-W01,350.2583333333334
1988-W02,349.9474
1988-W03,350.3578333333333
1988-W04,351.03666666666663
1988-W05,351.243
1988-W06,351.2526666666667
1988-W07,351.3405
1988-W08,348.82666666666665
1988-W09,352.6506
1988-W10,352.2355
1988-W11,352.36566666666664
1988-W12,352.596
1988-W13,353.5326
1988-W14,353.1983333333333
1988-W15,354.08666666666664
1988-W16,354.58500000000004
1988-W17,356.52216666666664
1988-W18,353.8428333333333
1988-W19,354.426
1988-W20,354.3214
1988-W21,354.6995
1988-W22,353.93
1988-W23,354.7183333333333
1988-W24,353.785
1988-W25,353.3188333333333
1988-W26,353.7155
1988-W27,352.729
1988-W28,352.39450000000005
1988-W29,352.0905
1988-W30,351.79883333333333
1988-W31,351.309
1988-W32,350.83500000000004
1988-W33,350.4388333333333
1988-W34,348.82425
1988-W35,349.0188333333333
1988-W36,349.0071666666667
1988-W37,348.78
1988-W38,349.1521666666667
1988-W39,349.1571666666666
1988-W40,348.89166666666665
1988-W41,348.7961666666667
1988-W42,349.40450000000004
1988-W43,349.73333333333335
1988-W44,350.0732
1988-W45,349.705
1988-W46,350.3616666666667
1988-W47,354.935
1988-W48,350.68600000000004
1988-W49,350.73
1988-W50,351.59999999999997
1988-W51,351.685
1988-W52,353.28999999999996
1989-W01,352.75500000000005
1989-W02,352.59
1989-W03,352.7483333333333
1989-W04,352.855
1989-W05,353.455
1989-W06,352.52833333333336
1989-W07,353.20666666666665
1989-W08,353.7616666666667
1989-W09,353.77500000000003
1989-W10,353.5183333333334
1989-W11,353.27
1989-W12,355.00666666666666
1989-W13,355.14000000000004
1989-W14,354.12833333333333
1989-W15,355.48499999999996
1989-W16,358.30833333333334
1989-W17,356.9116666666667
1989-W18,355.2483333333333
1989-W19,356.17333333333335
1989-W20,355.81166666666667
1989-W21,356.2966666666667
1989-W22,356.08833333333337
1989-W23,355.575
1989-W24,356.19666666666666
1989-W25,355.0333333333333
1989-W26,354.1966666666667
1989-W27,354.92
1989-W28,353.7875
1989-W29,353.9175
1989-W30,353.21875
1989-W31,352.3125
1989-W32,352.46875
1989-W33,351.05875000000003
1989-W34,349.9
1989-W35,350.07
